text,createTime
"yg sepuh salah, yg muda salah, elu maunya yg gmna sih anjir mnding ganti rakyat aja dah, kecuali gw😁",1764935292
"itu dicatat krn banyak keluhan yg masuk pastinya kan, gak mungkin dia bkln inget satu² semua keluhan org² klo sebanyak itu. makanya dia memilih sambil dicatat, dan itu bagus tau. jgn cmn bisanya menghujat aja, kalian jg klo jd dia beliau blm tentu bkln bisa inget sebanyak itu kn klo enggak di catat",1764933823
"ko ga pake rompi sih,pejabat apaan kaya gitu",1764923598
kayak mau ujian aja lo bran,1764931954
"Pak jokowi,Prabowo,gibran,Anis,Ganjar semua dihujat emang paling bener ganti Rakyat😭😭😭",1764937518
Ga kebayang cwe2 yg lagi haid😭,1764940072
yaudah itu kerjaannya kocak ngapa lu pada kaget,1765071821
"semoga sehat selalu ya pak wapres, biarin banyak yg ngatain bare minimum lah atau apalah karena kenyataannya banyak pejabat yang sampai sekarang masih diam saja",1764927422
"@z:ada aksi nyata dihujat, ga ada aksinya juga di hujat.
emg paling bner ganti rakyat nya aja",1764929831
"niatnya pasti baik, semoga rencana yang dia pikirin juga baik, berbaik sangka lebih baiik, daripada berburuk sangka.",1764926490
"@miu-miu🌼🍃:@z:ada aksi nyata dihujat, ga ada aksinya juga di hujat.
emg paling bner ganti rakyat nya aja",1764930710
"mungkin ini emng bare minimum sebagai pejabat, tapi saking belum pernahnya ada yg kaya beliau ini satu langkah perubahan yg baik, menyadarkan yg lain kalau sebagai org yg dipilih oleh rakyat sudah sepatutnya peduli pada rakyat, jadi walaupun bare minimum ttp harus di apresiasi.
lihat dari segi positif aja video ini bukan untuk pencitraan tapi sebuah dokumentasi kalau wapres sedang melakukan salah satu tugasnya semaksimal mungkin.
don't judge ini cuma opini ku aja☺️",1764931537
gw dah ga ngerti lagi sama netijen yang apa apa di komenin😔,1764925132
"alasan kalian yg ngehate dia mulu itu apa sih?
emg dia pernah ngapain hidup kalian? menyusahkan kalian?",1764940348
gara gara anis ni lah banyak orang sibuk membenci satu sama lain. alih alih saling bantu dan merangkul dan menghargai,1765072610
"berdoa, semoga semua hal yg di lakuin itu beneran amanah dan aman untuk semua.. hopeless nya jangan sampe ngehujat bahkan bully yaaa❤",1764924852
"waduh pak gibran bisa aja nih, biar ga ngeluarin bnyk budget kampanye ya pak? biar sekalian gitu 🥰",1764926735
semua manusia berusaha lebih baik. kita ga terjun dilapangan. cuman bisa melihat dan berkomentar. saya bukan pendukung prabowo dan gibran. cuman allah sudah menetapkan mereka jadi pimpinan negara . saya cuman bisa mendukung saja . semoga komentar yang jelek tidak berbalik kekita. 🥰,1764934631
"klo masyarakat yg ada di hadapan beliau ini merasa terbantu, ya udah biarin aja gais, harusnya kita ikut seneng, kita yg hanya tau lewat layar gadget ini cuman perlu ikut berdoa spy musibah ini cpt selesai, sukur sukur klo kita bisa bantu sdr2 kita yg ada disana",1764949496
"dia loh ke sama ga pake rompi anti peluru, ga paks masker, bener bener membaur di sana, kenapa di hujaut si, udh dpet wapres yng bener jg",1764978856
"Pak gibran , saya tetap dukung anda , biarkan yang gak suka berkoar koar , hidup memang begini ada yang suka dan ada yang tidak",1764931665
"Nanti dibilang ngapain ditulis dibuku, hape kan ada kelihatan bgt pencitraaannya. Ehh giliran ketik di hape nanti juga dibilang, sibuk main hape terus. Wkwk semoga enggak ya 🥰",1764933444
dicatet aja habis itu kalau udah pulang ga bakalan dibuka lagi,1764925981
emang paling bener ganti masyarakat nya,1764983268
sehat² bapak wakil presiden😊,1764926874
ga cocok sma yang ga suka gibran🙏,1764977626
aku merantau ke soloo waktu itu solo masih di pegang sama mas gibrann aku kagum gimana maju nya kota tersebut ditangan beliau makanya aku ngga ragu buat pilih dia cuma sedih nya knpa banyak yg hujat pdhl beliau ini sederhana ramah poll sama rakyatnya,1764938150
Ngene di hujat ngono di caci maki ancen sen bener gausa onok president sak wakil e wess indonesiaa losssssss🗿,1764936818
"dr awal selalu mendukung dia jd wapres, aku selalu berfikir, liat orang tua disekitar ku, kerja trus cape, dan akhirnya melakukan hanya seadanya
.
alasan pilih gibran karena dia masih muda, ada idealisme, dia ada semangat, pasti ada perubahan, semakin muda seseorang, semakin ada waktu bagi dia untuk berusaha",1764947632
sehat selalu pak gibrann🫶🏻,1764928975
Dikasih wakil kaya pak gibran aja masih pda julid🥺pdhal dia kerjanya nyata loh🥺sehat” mas gibran❤,1764939885
"yaa terserah deh yg rujak die, tp ada usaha buat catet keluhan warganya aja udah nunjukkin lo beneran kerja boss (bukan hebat tp emang tupoksinya begitu, cuma karna pejabat skrg ga bener jd lo keliatan kerenn mas gibran) jempol deh buat mas gibran",1764932427
"kalo baik di puji dan dukung, dia juga manusia, kalo salah di ingatkan atau dikritik. setiap manusia berusaha melakukan yg terbaik, perihal hati biar menjadi tugas kita dengan tuhan kita, hilangkan kebencian saat melihat kondisi sesama mengalami musibah. yang pasti hubungan sesama manusia menjadi kewajiban manusia lain membantu dengan cara yang kita mampu.",1764938306
"selain di catat, semoga di bagi solusinya juga ya",1764927680
"giliran dia kerja gini dibilang bare minimum, anis ngomong sama lukisan dibilang keren 🤾🏻‍♀️",1764934614
"Tpi aku seneng liat beliau, sabar dan ttp kerja walaupun dihujat , sehat2 pak 🙏🏻",1765081207
"salahnya apa ya mengapresiasi? se bare minimum apapun pasti bakal seneng kok dipuji, itu bisa memotivasi buat bakal lebih ngelakuin hal yang jaman sekarang susah bgt dilakuin yg lain. ibarat kata kalian yg ngelakuin hal simple dan biasa aja tapi ttp diapresiasi pasti juga seneng kan?",1764947209
"ini emang yg harus di lakuin pejabat, tapi ga semua pejabat bisa🙏.",1764940791
"bare minimum bare minimum, emang gaada benernya wapres dimata kalian, orang ga gerak di hujat udah gerak bare minimum…. makasih dikit aja kenapa sih?",1764936959
"semua capek gays, semua lelahhh, semua juga pusing please stop menghujat sana sini, saling merangkul di saat kondisi seperti ini, jika tidak bisa bantu donasi please bantu doa",1765011602
"saya memang tidak memilih beliau sebagai wakil pemimpin rakyat, tapi tolong biarkan ia menjalani tugasnya sebagai wakil pemimpin rakyat sebagai mana mestinya. Memang banyak sekali pemerintah yang sangat amat jauh pekerjaannya yg jauh dari kata baik, udah cape banget lah sama kinerja pemerintah yang makin buruk.
Tapi ia mencoba semampunya untuk menjalani tugasnya dengan baik.
Ya Tuhan lekas membaik negeriku, sehat semuanya!",1764986461
Yang saya salut dari Gibran itu dia tak pernah pakai emblem (Bros) dipakaiannya yg menandakan dia wakil presiden dan stylenya sangat sederhana banget tidak mnandakan seorang wakil presiden. the real berkerja sepenuh hati untuk rakyat good job mas . smoga sehat selalu 🙏🏼,1764953085
"jangan dihujat best
dibalik gedebuk dunianya, setidaknya beliau berusaha menjadi wapres yg baik",1764950573
wapres yg dulu malah ga pernah kluar🤣,1764939927
Tetep kami catat,1764990556
